comment,likes,comment_type,author,date,mf_care_harm_score,mf_care_harm_polarity,mf_fairness_cheating_score,mf_fairness_cheating_polarity,mf_loyalty_betrayal_score,mf_loyalty_betrayal_polarity,mf_authority_subversion_score,mf_authority_subversion_polarity,mf_sanctity_degradation_score,mf_sanctity_degradation_polarity,mf_liberty_oppression_score,mf_liberty_oppression_polarity,love_concept,commitment_view,jealousy_attitude,relationship_structure,individualism,traditionalism,openness,conformity,hedonism,universalism,emotional_valence,emotional_intensity,emotions,stance,confidence,argument_type,key_claims,underlying_assumptions,complexity_level,internal_consistency,openness_to_dialogue,moral_sophistication
걍 쓰리썸아닌가,0,원댓글,@공유-d6z,2025. 9. 28. 오전 1:17:12,2,negative,3,negative,2,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,3,2,negative,2,"disgust,skepticism,contempt",anti_polyamory,4,personal,다자연애는 쓰리썸과 같다,"다자연애는 쾌락 추구를 위한 관계이다,성적 관계는 배타적이어야 한다",1,5,1,1
병이다 병 후에 믿는도끼에 발등 찍힌다,1,원댓글,@언제나황,2025. 9. 13. 오전 8:51:30,4,negative,3,negative,5,negative,2,negative,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,4,"disgust,fear,anger,disappointment",anti_polyamory,5,personal/moral/practical,"다자연애는 병이다,다자연애는 배신을 초래한다","사랑은 독점적이다,신뢰는 단 하나의 관계에서만 가능하다,다자연애는 불안정하다",1,4,1,1
정신병고쳐야해요,0,원댓글,@찰리-f3t,2025. 9. 29. 오전 1:17:34,4,negative,3,negative,3,negative,2,negative,4,negative,1,neutral,exclusive,absolute,harmful,hierarchical,2,5,1,5,1,2,negative,4,"혐오,분노,우려",anti_polyamory,5,moral,"다자연애는 정신병이다.,다자연애는 치료되어야 한다.","일부일처제가 정상적인 관계 형태이다.,정신질환은 교정되어야 한다.,다자연애는 사회적으로 해로운 영향을 미친다.",1,4,1,1
아 머리 아프노,0,원댓글,@sirasoni.c,2025. 9. 14. 오후 4:57:26,2,negative,1,neutral,2,negative,1,neutral,1,neutral,2,neutral,complex,flexible,natural,fluid,3,2,3,3,2,3,negative,3,"frustration,confusion,anxiety",neutral,1,personal,,"다자연애는 복잡하고 이해하기 어렵다.,전통적인 연애 방식이 더 간단하고 편안하다.",2,4,2,2
대놓고 쓰리썸인증하노,0,원댓글,@김춘장-m2f,2025. 9. 28. 오후 2:29:39,2,negative,3,negative,4,negative,1,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,2,2,negative,4,"disgust,disapproval,mockery",anti_polyamory,5,cultural,"쓰리썸은 부도덕하다,다자연애는 자랑할 만한 것이 아니다","일부일처제가 유일하게 정상적인 관계 형태다,다자연애는 성적으로 문란하다",1,4,1,1
"새로운 신인류가 출몰한다! 남다른 세계관, 예측불가한 라이프, 기상천외한 사연, 충격적인 비주얼까지! 지구에 숨어있는 화성인 소환 준비 완료!_x000d__x000d_매주 [월] 저녁 8시 tvN STORY 방송",0,원댓글,@DiggleClassic,2025. 9. 12. 오전 9:14:44,2,neutral,1,neutral,2,negative,3,negative,3,negative,2,positive,inclusive,flexible,manageable,fluid,4,2,5,2,3,3,mixed,4,"curiosity,shock,amusement",neutral,3,cultural,"다자연애는 새롭고 독특한 현상이다.,다자연애는 기존의 사회적 규범과 다르다.","다자연애는 흥미로운 시청 소재이다.,다자연애는 주류 사회에서 받아들여지지 않을 수 있다.",3,4,3,2
이런걸 티비에서 틀어요?,17,원댓글,@psypsyred16,2025. 9. 12. 오전 12:31:10,2,negative,2,neutral,3,negative,1,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"disbelief,shock,concern",anti_polyamory,3,cultural,다자연애는 방송에 부적절하다,"다자연애는 사회적 규범에 어긋난다,미디어는 사회적 가치를 반영해야 한다",2,4,2,2
"리얼 스와핑, NTR 다 하고 있네",14,원댓글,@유현석-l3g,2025. 9. 11. 오후 11:48:46,4,negative,5,negative,5,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,2,3,negative,4,"혐오,경멸,비판",anti_polyamory,5,moral,다자연애는 스와핑과 NTR과 같은 부도덕한 행위를 포함한다,"일부일처제가 유일하게 도덕적으로 용인되는 관계 형태이다,합의된 관계라도 스와핑과 NTR은 도덕적으로 잘못되었다,다자연애는 관계의 안정성과 신뢰를 파괴한다",2,4,1,2
불쌍하다 진짜 평생 저렇게 자기합리화하고 정신승리하겠지,8,원댓글,@seolheeje,2025. 9. 12. 오후 9:54:37,4,negative,3,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,2,2,negative,4,"불쌍함,경멸,걱정,비판",anti_polyamory,5,personal,"다자연애는 자기합리화이다.,다자연애는 정신승리이다.,다자연애를 하는 사람은 불쌍하다.","일부일처제가 정상적이고 바람직한 관계 형태이다.,다자연애는 불안정하고 고통스러운 삶을 초래한다.,자기합리화는 부정적인 행위이다.",2,4,1,2
스와핑을 합리화 시키고 있내 그냥 쓰리섬????대박,6,원댓글,@user-oc5ps8gs8y,2025. 9. 13. 오전 8:24:38,3,negative,4,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"disgust,cynicism,judgment",anti_polyamory,4,moral,"다자연애는 스와핑과 다를 바 없으며, 이는 비도덕적이다.","일부일처제가 유일하게 도덕적으로 용인될 수 있는 관계 형태이다.,다자연애는 성적인 문란함을 조장한다.,합의된 다자연애는 존재하지 않거나, 현실적으로 유지되기 어렵다.",2,4,1,2
ㅋㅋㅋㅋ 두 엠씨분들.... 표정이..... 전달됩니다 저도 같은 생각이예요,2,원댓글,@mimi-ed5bb,2025. 9. 14. 오전 10:52:58,2,negative,3,negative,4,negative,1,neutral,2,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"discomfort,disapproval,skepticism",anti_polyamory,4,personal,"다자연애는 불편하다,다자연애는 기존의 관계 규범에 어긋난다","일대일 관계가 정상적인 관계이다,사랑은 배타적이어야 한다",2,4,2,2
남자입장에서 보면 우 여친 우 여친이네 ㅋㅋthree..,5,원댓글,@guguguguDan,2025. 9. 13. 오전 10:45:01,1,negative,2,negative,3,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,3,4,2,4,3,2,mixed,3,"amusement,objectification,uncertainty",anti_polyamory,3,personal,다자연애는 남성에게 유리한 상황이다,"관계는 소유의 개념을 포함한다,남성은 다자연애를 선호한다,여성은 남성의 선택에 종속적이다",2,3,2,2
사랑은 책임감과 헌신도 포함되요,1,원댓글,@3150ja,2025. 9. 12. 오후 10:37:06,4,positive,3,positive,2,neutral,1,neutral,1,neutral,2,neutral,complex,flexible,manageable,egalitarian,3,2,4,3,2,3,positive,3,"caring,responsible,dedicated",pro_polyamory,4,moral,사랑은 책임감과 헌신을 포함한다,"폴리아모리도 책임감과 헌신을 바탕으로 할 수 있다,사랑에는 다양한 형태가 존재할 수 있다",3,4,4,3
오우 아메리칸 스타일?( 영화 패러디? 극한직업에도비슷한 대사가?),1,원댓글,@myTake8521,2025. 9. 12. 오전 2:19:38,2,neutral,3,negative,3,negative,2,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,3,4,2,4,2,2,neutral,2,"amusement,curiosity,mild_discomfort",questioning,2,cultural,"다자연애는 서구 문화의 특징이다,다자연애는 낯설고 특이한 현상이다","일부일처제가 보편적인 관계 모델이다,서구 문화는 한국 문화와 다르다",2,4,3,2
TV 체널 폐쇄시켜라,6,원댓글,@Tori장군-g9k,2025. 9. 12. 오전 6:55:45,4,negative,3,negative,4,negative,3,negative,5,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,4,"anger,disgust,opposition",anti_polyamory,5,moral/cultural,"다자연애는 사회적 규범에 어긋난다,다자연애는 전통적 가치를 훼손한다","일부일처제가 사회의 기본 단위이다,전통적인 가치는 보존되어야 한다",1,4,1,2
정상인들이 아니구만..,3,원댓글,@도성-k9r,2025. 9. 12. 오후 5:01:39,4,negative,3,negative,4,negative,2,negative,3,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,2,2,negative,3,"혐오,경멸,불쾌감",anti_polyamory,4,personal/cultural,다자연애는 비정상이다,"일부일처제가 정상적인 관계의 유일한 형태이다,사회의 규범에서 벗어나는 것은 옳지 않다",1,4,1,2
합리화 시기면서 다자연앨라는 것을 넣지마라 아 진짜 싫다 ㅋㅋ,5,원댓글,@내아임다-q1l,2025. 9. 12. 오후 6:27:14,3,negative,4,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,4,"혐오,불쾌함,반감",anti_polyamory,5,personal,"다자연애는 혐오스럽다.,다자연애는 정당화될 수 없다.","일부일처제가 정상적인 관계 형태이다.,다자연애는 도덕적으로 옳지 않다.",1,5,1,1
걍 다 제정신들이 아닌거같은데••,4,원댓글,@bygrace6364,2025. 9. 12. 오후 12:13:40,3,negative,2,negative,4,negative,1,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,2,2,negative,3,"disgust,disbelief,judgment",anti_polyamory,4,personal/moral,다자연애는 비정상적이다.,"일부일처제가 유일한 정상적인 관계 형태이다.,정신 건강은 사회적 규범을 따르는 것과 관련이 있다.",1,5,1,1
존중은 한다만 이해는 못하겠다,1,원댓글,@23-k2g,2025. 9. 14. 오후 6:46:01,3,neutral,4,negative,4,negative,2,negative,3,negative,2,neutral,exclusive,absolute,natural,hierarchical,3,4,3,4,2,3,neutral,2,"uncertainty,discomfort,tolerance",neutral,3,personal,다자연애를 개인적으로 이해하기 어렵다,"전통적인 관계 모델이 더 자연스럽고 이해하기 쉽다,다자연애는 복잡하고 비정상적이다",2,4,3,3
남자가린거보니 먼가구린게잇는듯요,6,원댓글,@최준희-b6y,2025. 9. 12. 오전 1:56:33,3,negative,4,negative,4,negative,1,neutral,2,negative,2,neutral,exclusive,absolute,natural,hierarchical,3,4,2,4,2,3,negative,3,"suspicion,concern,disapproval",anti_polyamory,4,personal/moral,"다자연애 관계는 투명성이 부족하다,숨겨진 문제가 있을 가능성이 높다","모든 관계는 독점적이어야 한다,숨기는 것은 부정적인 의도가 있다",2,4,2,2
나중에 꼭문제생길꺼 같다,0,원댓글,@빠샤빠샤,2025. 9. 16. 오후 2:51:56,4,negative,2,negative,3,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"걱정,우려,불안",anti_polyamory,4,practical,다자연애는 결국 문제를 일으킬 것이다,"다자연애는 관계의 안정성을 저해한다,인간은 한 사람에게만 헌신하도록 진화했다,질투는 자연스러운 감정이며 다자연애 관계를 파괴할 것이다",1,3,2,2
서로 합의하에 불법이 아니면 꼴리는대로 살아라~,4,원댓글,@노는날-k9r,2025. 9. 12. 오전 3:50:25,4,positive,3,positive,1,negative,3,neutral,1,negative,5,positive,inclusive,flexible,manageable,egalitarian,5,1,5,1,4,3,positive,3,"liberation,acceptance,indifference",pro_polyamory,4,moral,"개인의 자유는 존중되어야 한다,합의된 관계는 도덕적으로 허용된다","개인은 자신의 욕구를 충족할 권리가 있다,타인에게 해를 끼치지 않는 행동은 자유롭게 행할 수 있다",3,4,3,3
당당하면 얼굴을 왜 가리누,1,원댓글,@은아-d7l,2025. 9. 14. 오후 9:56:03,2,negative,3,negative,4,negative,2,negative,3,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,2,2,negative,3,"의심,불신,경멸",anti_polyamory,4,moral,"다자연애는 당당하지 못하다,얼굴을 가리는 행위는 숨기는 것이 있다","다자연애는 사회적으로 인정받지 못하는 관계이다,진실하다면 숨길 필요가 없다,사랑은 독점적이어야 한다",2,4,1,2
이딴걸 방송에 왜 내보내는거지?,2,원댓글,@미카엘-g3p,2025. 9. 12. 오후 12:49:15,3,negative,2,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,1,2,negative,4,"혐오,불쾌,분노",anti_polyamory,5,moral/cultural,다자연애는 방송에 부적절하다,"다자연애는 사회적으로 용납될 수 없는 비정상적인 관계이다.,방송은 사회적 규범을 따라야 한다.,방송은 대중에게 부정적인 영향을 미칠 수 있다.",1,4,1,2
"남자 얼굴도 궁금하네요,, 그럼 당연히 ㄱㄱ도 셋이 하겠죠???!!",1,원댓글,@muteppo,2025. 9. 12. 오전 6:50:08,1,negative,2,neutral,1,negative,0,neutral,2,negative,1,neutral,undefined,undefined,undefined,undefined,3,2,4,2,4,3,neutral,3,"curiosity,inquisitiveness,potential_discomfort",questioning,4,personal,다자연애 성관계에 대한 궁금증,"다자연애는 성적으로 개방적일 것이다,성관계는 다자연애의 중요한 부분일 것이다",2,3,2,2
A ménage à trois,1,원댓글,@sungkchun,2025. 9. 12. 오후 1:04:56,2,neutral,3,neutral,3,negative,2,neutral,2,negative,3,positive,inclusive,flexible,manageable,fluid,4,2,4,2,3,3,neutral,2,"curiosity,openness,ambivalence",neutral,3,cultural,,"다자연애는 사회적으로 논쟁적인 주제이다.,다자연애는 다양한 형태의 관계를 포괄할 수 있다.",3,4,3,3
드러움. .,2,원댓글,@다비니네이야기,2025. 9. 13. 오전 10:04:18,4,negative,3,negative,4,negative,2,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"혐오감,불쾌감,당혹감",anti_polyamory,4,moral,"다자연애는 부도덕하다,다자연애는 혐오스럽다","독점적 관계가 정상적이고 바람직하다,성적 순결이 중요하다,사회적 규범을 따라야 한다",1,5,1,1
저딴걸 방송하냐 ㅋ 걍 폐지해라 인간들아,2,원댓글,@ghkd6243,2025. 9. 12. 오전 11:29:26,4,negative,3,negative,3,negative,2,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,5,"anger,disgust,contempt",anti_polyamory,5,moral,"다자연애는 옳지 않다,다자연애 방송은 폐지되어야 한다","일부일처제가 유일하게 올바른 관계 형태이다,다자연애는 사회에 해로운 영향을 미친다",1,3,1,1
주작이겠지.....,1,원댓글,@폭주기관차-h9l,2025. 9. 14. 오후 5:22:29,2,negative,3,negative,3,negative,1,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"disbelief,skepticism,judgment",anti_polyamory,4,cultural,다자연애는 사실이 아닐 것이다.,"다자연애는 일반적이지 않다.,다자연애는 한국 사회의 규범에 어긋난다.",1,4,1,2
가능하지 머 남자도아니고 여잔데 또 그여자도 내가꼬시먄되제이,1,원댓글,@루혁-r8m,2025. 9. 12. 오전 10:10:32,1,negative,2,negative,3,negative,1,neutral,1,neutral,2,positive,inclusive,flexible,irrelevant,fluid,4,1,4,1,4,2,neutral,3,"confidence,excitement,playfulness",pro_polyamory,4,personal,"다자연애는 가능하다,여성도 유혹의 대상이 될 수 있다","개인의 욕망 충족이 중요하다,타인의 감정은 부차적이다,성별은 유혹의 제약 조건이 아니다",2,3,2,2
이런 내용을 왜 방송에 내는거죠? 혹시라도 청소년들이나 아이들에게 영향을 미칠까봐 심히 걱정됩니다 제발 자극적인 소재는 그만 해주세요,35,원댓글,@goj1481,2025. 9. 9. 오후 9:46:27,5,negative,1,neutral,2,negative,1,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,2,3,negative,4,"걱정,불안,우려",anti_polyamory,5,moral,"다자연애는 청소년에게 부정적인 영향을 미칠 수 있다,방송은 자극적인 소재를 자제해야 한다","청소년은 쉽게 영향을 받는다,다자연애는 자극적인 소재다,방송은 청소년을 보호해야 할 의무가 있다,일부일처제가 바람직한 관계 형태이다",2,4,1,2
이런방송 까지 해야하나요청소년들도 볼텐데 ..진짜 미친 프로그램,8,원댓글,@dh-eq6jc,2025. 9. 14. 오후 7:41:11,5,negative,1,neutral,2,negative,3,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,5,"분노,혐오,우려",anti_polyamory,5,moral/cultural,"다자연애 방송은 청소년에게 유해하다,다자연애는 사회적으로 용납될 수 없는 '미친' 행위이다","청소년은 다자연애에 대한 판단 능력이 부족하다,다자연애는 전통적인 가족 가치에 위배된다,방송은 사회에 큰 영향력을 미친다",2,4,1,2
동물의 세계도 같은공간은 비선호 한다.,20,원댓글,@dadahoo4402,2025. 9. 9. 오후 9:13:17,2,negative,1,negative,3,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,1,2,negative,2,"disgust,aversion,skepticism",anti_polyamory,3,cultural,"다자연애는 자연스럽지 않다,동물도 같은 공간을 비선호한다","인간의 행동은 동물과 유사한 본능에 의해 결정된다,자연스러운 것이 옳다",2,3,2,2
방송폐지가 답!,10,원댓글,@이지뉴스24,2025. 9. 12. 오후 8:42:34,4,negative,3,negative,3,negative,2,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,4,"disgust,anger,fear",anti_polyamory,5,moral/cultural,"다자연애는 사회적으로 용납될 수 없다,다자연애는 전통적인 가치관을 훼손한다","전통적인 가족 관계가 유일하게 정상적인 관계이다,방송은 사회에 긍정적인 영향을 미쳐야 한다",1,4,1,2
"편집하지그랫어 제작진들아화재성은 있으나 그닥 옳아보이지 않다. 이건 화성인이 아니라, 인간세계에서 나오지말아야할 종족들 이야기.",9,원댓글,@2023jj,2025. 9. 9. 오후 7:56:46,4,negative,3,negative,3,negative,2,negative,4,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,4,"disgust,disapproval,fear,moral outrage",anti_polyamory,5,moral,"다자연애는 옳지 않다,다자연애는 인간 세계에서 용납되어서는 안 된다","일부일처제가 유일하게 올바른 관계 형태이다,사회의 도덕적 질서는 특정 관계 형태를 유지함으로써 유지된다",2,4,1,2
양성애자를 다자연애라고 하나요?,13,원댓글,@JJIN2YA,2025. 9. 11. 오전 8:13:26,1,neutral,2,neutral,2,neutral,1,neutral,2,neutral,2,neutral,undefined,undefined,undefined,undefined,2,3,2,3,2,2,neutral,1,"curiosity,confusion,misunderstanding",questioning,3,personal,양성애와 다자연애를 동일시하는 오해,"성적 지향과 관계 형태는 밀접하게 연관되어 있다,다자연애는 일반적인 관계 형태가 아니다",2,4,3,2
이런 거 방송에서 안 보고 싶습니다,19,원댓글,@user-wn5zr2uy2h,2025. 9. 9. 오후 10:30:30,3,negative,2,neutral,3,negative,1,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"disgust,discomfort,annoyance",anti_polyamory,4,personal/cultural,다자연애는 주류 방송에 부적절하다,"방송은 사회의 일반적인 가치를 반영해야 한다,다자연애는 일반적인 가치에 부합하지 않는다",1,5,1,1
10대들 보고 따라하라고 방송규제 안하는건가여????,17,원댓글,@찌느닝짱-z8p,2025. 9. 11. 오전 12:24:39,4,negative,2,neutral,3,negative,3,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,4,"걱정,분노,불안",anti_polyamory,5,moral/cultural,"다자연애는 10대에게 유해하다,방송은 사회적 규범을 준수해야 한다","10대는 미성숙하여 다자연애를 이해하고 감당하기 어렵다,방송은 사회에 긍정적인 영향을 미쳐야 한다",2,4,1,2
미친 프로그램이네 청소년들도 볼텐데 자극적인 프로그램은 내보내지 말아야지 ~미쳤다…,2,원댓글,@meili6725,2025. 9. 17. 오전 1:11:17,5,negative,1,neutral,1,neutral,2,negative,4,negative,1,neutral,exclusive,absolute,harmful,hierarchical,2,5,1,4,1,2,negative,5,"disgust,anger,concern",anti_polyamory,5,moral,"다자연애 프로그램은 청소년에게 유해하다,자극적인 프로그램은 방송에 부적절하다","청소년은 유해한 콘텐츠로부터 보호받아야 한다,전통적인 일부일처제가 바람직한 관계 모델이다,방송은 사회적 책임을 져야 한다",1,4,1,1
미국도 저러진 않는다;;;,22,원댓글,@Astd007,2025. 9. 9. 오후 7:37:35,3,negative,2,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,3,negative,3,"disapproval,surprise,mild disgust",anti_polyamory,4,cultural,다자연애는 미국을 포함한 보편적인 사회 규범에서 벗어난 행동이다.,"일부일처제가 자연스럽고 보편적인 관계 형태이다.,다자연애는 사회적으로 용납될 수 없는 행동이다.",2,4,2,2
진짜 살아있는 사람들이 저런 짓을 하고 산다고?짐승도 저런 짓을 안한다 진~~짜 말세다 진짜 잡탕판이다 뭐하는 짓들이고 이러니 엉망진창 세상이 되는거지 제~~발 이 프로 폐지 좀 해라.,3,원댓글,@Llo77421,2025. 9. 16. 오전 10:40:46,4,negative,2,negative,3,negative,3,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,5,"disgust,anger,fear",anti_polyamory,5,moral/cultural,"다자연애는 엉망진창 세상을 만든다,다자연애는 인간의 도덕적 타락이다","전통적인 일부일처제가 유일하게 정상적인 관계 형태이다,사회 질서는 특정한 도덕적 규범을 준수할 때 유지될 수 있다",1,3,1,1
공감하라고 강요하는 세상,5,원댓글,@seolinji,2025. 9. 14. 오전 12:38:39,2,negative,3,negative,1,neutral,2,negative,1,neutral,4,negative,undefined,undefined,undefined,undefined,4,2,2,2,2,2,negative,3,"불쾌감,저항감,불만",anti_polyamory,3,moral,타인에게 공감을 강요하는 것은 부당하다,"개인의 감정은 강요될 수 없다,다양한 관계 방식에 대한 사회적 압력이 존재한다",2,4,2,2
